Category: All categories

Week,anxiety: (United States)
2021-01-03,94
2021-01-10,92
2021-01-17,90
2021-01-24,100
2021-01-31,99
2021-02-07,93
2021-02-14,93
2021-02-21,100
2021-02-28,98
2021-03-07,95
2021-03-14,92
2021-03-21,95
2021-03-28,90
2021-04-04,93
2021-04-11,95
2021-04-18,97
2021-04-25,93
2021-05-02,91
2021-05-09,91
2021-05-16,92
2021-05-23,89
2021-05-30,89
2021-06-06,91
2021-06-13,89
2021-06-20,88
2021-06-27,88
2021-07-04,93
2021-07-11,91
2021-07-18,91
2021-07-25,92
2021-08-01,93
2021-08-08,92
2021-08-15,94
2021-08-22,95
2021-08-29,94
2021-09-05,97
2021-09-12,99
2021-09-19,97
2021-09-26,94
2021-10-03,95
2021-10-10,97
2021-10-17,94
2021-10-24,93
2021-10-31,92
2021-11-07,92
2021-11-14,94
2021-11-21,82
2021-11-28,93
2021-12-05,93
2021-12-12,88
2021-12-19,79
2021-12-26,79
