Category: All categories

Week,ocd: (United States),depression: (United States),anxiety: (United States),insomnia: (United States),mental health: (United States)
2021-01-03,10,59,94,17,36
2021-01-10,10,64,92,18,40
2021-01-17,9,65,90,17,40
2021-01-24,10,70,100,18,45
2021-01-31,10,70,99,19,46
2021-02-07,11,73,93,18,47
2021-02-14,10,70,93,17,43
2021-02-21,11,74,100,18,49
2021-02-28,11,72,98,17,47
2021-03-07,10,69,95,17,47
2021-03-14,9,67,92,17,44
2021-03-21,10,67,95,18,45
2021-03-28,10,62,90,17,44
2021-04-04,10,66,93,17,47
2021-04-11,10,68,95,17,48
2021-04-18,11,69,97,18,49
2021-04-25,10,67,93,18,51
2021-05-02,11,66,91,20,60
2021-05-09,10,65,91,17,56
2021-05-16,10,62,92,16,53
2021-05-23,10,59,89,16,48
2021-05-30,10,57,89,17,43
2021-06-06,10,58,91,16,44
2021-06-13,10,59,89,16,42
2021-06-20,10,53,88,16,40
2021-06-27,10,55,88,19,40
2021-07-04,10,52,93,16,35
2021-07-11,10,55,91,18,42
2021-07-18,10,54,91,18,39
2021-07-25,9,54,92,17,47
2021-08-01,10,51,93,17,42
2021-08-08,10,52,92,17,39
2021-08-15,11,52,94,17,40
2021-08-22,9,53,95,18,43
2021-08-29,9,59,94,18,44
2021-09-05,10,54,97,18,44
2021-09-12,12,65,99,19,51
2021-09-19,14,64,97,18,51
2021-09-26,10,64,94,17,53
2021-10-03,10,63,95,16,54
2021-10-10,11,63,97,17,63
2021-10-17,11,63,94,17,54
2021-10-24,10,65,93,17,52
2021-10-31,11,64,92,17,55
2021-11-07,10,68,92,16,55
2021-11-14,10,69,94,16,55
2021-11-21,10,52,82,14,35
2021-11-28,11,65,93,15,56
2021-12-05,11,67,93,17,54
2021-12-12,10,60,88,16,46
2021-12-19,9,43,79,15,28
2021-12-26,9,45,79,16,29
