Category: All categories

Week,depression: (United States)
2021-01-03,79
2021-01-10,87
2021-01-17,87
2021-01-24,95
2021-01-31,94
2021-02-07,98
2021-02-14,94
2021-02-21,100
2021-02-28,96
2021-03-07,93
2021-03-14,90
2021-03-21,90
2021-03-28,84
2021-04-04,89
2021-04-11,92
2021-04-18,93
2021-04-25,89
2021-05-02,89
2021-05-09,87
2021-05-16,84
2021-05-23,79
2021-05-30,77
2021-06-06,77
2021-06-13,79
2021-06-20,72
2021-06-27,73
2021-07-04,70
2021-07-11,73
2021-07-18,72
2021-07-25,72
2021-08-01,68
2021-08-08,70
2021-08-15,70
2021-08-22,72
2021-08-29,80
2021-09-05,73
2021-09-12,87
2021-09-19,86
2021-09-26,86
2021-10-03,85
2021-10-10,85
2021-10-17,85
2021-10-24,88
2021-10-31,86
2021-11-07,92
2021-11-14,92
2021-11-21,70
2021-11-28,88
2021-12-05,90
2021-12-12,81
2021-12-19,58
2021-12-26,61
