Category: All categories

Week,insomnia: (United States)
2021-01-03,88
2021-01-10,93
2021-01-17,87
2021-01-24,90
2021-01-31,93
2021-02-07,91
2021-02-14,88
2021-02-21,89
2021-02-28,85
2021-03-07,85
2021-03-14,87
2021-03-21,92
2021-03-28,88
2021-04-04,85
2021-04-11,85
2021-04-18,88
2021-04-25,90
2021-05-02,100
2021-05-09,87
2021-05-16,82
2021-05-23,78
2021-05-30,84
2021-06-06,82
2021-06-13,81
2021-06-20,82
2021-06-27,96
2021-07-04,80
2021-07-11,91
2021-07-18,91
2021-07-25,86
2021-08-01,85
2021-08-08,86
2021-08-15,87
2021-08-22,91
2021-08-29,92
2021-09-05,90
2021-09-12,93
2021-09-19,93
2021-09-26,84
2021-10-03,83
2021-10-10,88
2021-10-17,85
2021-10-24,83
2021-10-31,84
2021-11-07,82
2021-11-14,83
2021-11-21,72
2021-11-28,78
2021-12-05,87
2021-12-12,80
2021-12-19,75
2021-12-26,80
