Category: All categories

Week,mental health: (United States)
2021-01-03,58
2021-01-10,63
2021-01-17,64
2021-01-24,71
2021-01-31,74
2021-02-07,75
2021-02-14,69
2021-02-21,78
2021-02-28,76
2021-03-07,75
2021-03-14,70
2021-03-21,72
2021-03-28,70
2021-04-04,75
2021-04-11,77
2021-04-18,79
2021-04-25,81
2021-05-02,96
2021-05-09,89
2021-05-16,85
2021-05-23,77
2021-05-30,69
2021-06-06,70
2021-06-13,67
2021-06-20,64
2021-06-27,63
2021-07-04,55
2021-07-11,66
2021-07-18,62
2021-07-25,76
2021-08-01,67
2021-08-08,63
2021-08-15,64
2021-08-22,68
2021-08-29,71
2021-09-05,71
2021-09-12,81
2021-09-19,82
2021-09-26,85
2021-10-03,87
2021-10-10,100
2021-10-17,86
2021-10-24,84
2021-10-31,88
2021-11-07,87
2021-11-14,87
2021-11-21,57
2021-11-28,89
2021-12-05,87
2021-12-12,74
2021-12-19,45
2021-12-26,46
