Category: All categories

Week,ocd: (United States)
2021-01-03,67
2021-01-10,66
2021-01-17,64
2021-01-24,73
2021-01-31,70
2021-02-07,74
2021-02-14,69
2021-02-21,73
2021-02-28,76
2021-03-07,72
2021-03-14,65
2021-03-21,67
2021-03-28,66
2021-04-04,67
2021-04-11,69
2021-04-18,75
2021-04-25,72
2021-05-02,74
2021-05-09,71
2021-05-16,66
2021-05-23,71
2021-05-30,68
2021-06-06,70
2021-06-13,70
2021-06-20,67
2021-06-27,67
2021-07-04,67
2021-07-11,67
2021-07-18,67
2021-07-25,65
2021-08-01,67
2021-08-08,67
2021-08-15,75
2021-08-22,66
2021-08-29,66
2021-09-05,69
2021-09-12,82
2021-09-19,100
2021-09-26,72
2021-10-03,70
2021-10-10,74
2021-10-17,75
2021-10-24,72
2021-10-31,75
2021-11-07,73
2021-11-14,72
2021-11-21,68
2021-11-28,77
2021-12-05,76
2021-12-12,69
2021-12-19,60
2021-12-26,61
