Week,depression,anxiety,obsessive compulsive disorder,ocd,insomnia,panic attack,mental health,counseling,psychiatrist
2019/6/16,70,89,37,69,77,73,61,88,73
2019/6/23,70,91,51,73,83,71,62,89,66
2019/6/30,63,87,41,70,74,75,53,72,76
2019/7/7,74,92,60,74,84,77,63,88,89
2019/7/14,70,92,70,77,81,77,60,88,61
2019/7/21,75,93,42,72,82,81,61,90,75
2019/7/28,74,92,53,68,80,78,58,89,83
2019/8/4,69,93,47,69,83,79,63,90,49
2019/8/11,70,95,41,68,87,76,64,95,64
2019/8/18,72,94,56,74,91,77,62,96,36
2019/8/25,71,91,57,73,86,71,61,96,23
2019/9/1,71,89,54,71,87,73,62,90,60
2019/9/8,82,93,49,72,86,75,72,99,51
2019/9/15,84,93,64,71,86,74,71,99,87
2019/9/22,83,98,67,80,86,76,73,95,82
2019/9/29,84,97,65,80,86,81,74,98,82
2019/10/6,88,92,64,83,83,75,100,94,59
2019/10/13,90,92,59,81,85,75,74,94,33
2019/10/20,91,96,67,87,86,76,76,97,81
2019/10/27,88,92,65,88,83,71,73,92,52
2019/11/3,94,94,68,76,76,74,77,99,37
2019/11/10,91,94,63,90,78,82,71,93,36
2019/11/17,95,99,69,95,81,79,76,92,65
2019/11/24,72,86,59,74,67,74,52,64,76
2019/12/1,93,91,100,87,80,77,73,89,43
2019/12/8,95,91,67,82,80,75,67,84,58
2019/12/15,80,83,56,79,71,69,57,76,44
2019/12/22,62,75,25,71,66,69,40,50,50
2019/12/29,68,86,51,74,83,76,49,72,46
2020/1/5,83,93,48,76,88,74,66,96,57
2020/1/12,86,97,54,75,84,73,72,100,31
2020/1/19,85,95,72,83,90,77,69,96,100
2020/1/26,92,95,63,81,88,86,74,99,35
2020/2/2,91,92,65,80,85,80,73,99,70
2020/2/9,96,96,76,78,97,72,75,96,70
2020/2/16,91,99,65,82,83,74,74,97,76
2020/2/23,97,100,75,86,84,79,79,95,95
2020/3/1,96,96,82,85,83,79,76,93,60
2020/3/8,91,88,68,82,74,80,65,83,40
2020/3/15,100,85,49,65,66,90,58,65,33
2020/3/22,99,97,56,70,77,100,60,59,77
2020/3/29,99,95,66,69,86,93,60,58,25
2020/4/5,97,92,70,71,91,94,60,58,45
2020/4/12,98,88,66,74,88,86,65,58,37
2020/4/19,99,89,61,85,96,84,64,64,37
2020/4/26,97,92,80,84,96,85,70,64,31
2020/5/3,97,90,69,85,100,80,74,66,56
2020/5/10,93,90,62,88,93,79,67,69,32
2020/5/17,82,90,67,100,89,79,67,68,51
2020/5/24,73,89,57,94,85,81,59,66,33
2020/5/31,68,83,46,85,75,67,62,68,32
